run [pow 10]	solution val	
1173	0.221891	
1174	0.221977	
1175	0.221946	
1176	0.221954	
1177	0.221974	
1178	0.221956	
1179	0.221919	
1180	0.221941	
1181	0.222004	
1182	0.221958	
1183	0.221968	
1184	0.221931	
1185	0.221885	
1186	0.221844	
1187	0.221815	
1188	0.221792	
1189	0.221815	
1190	0.221808	
1191	0.22184	
1192	0.221827	
1193	0.221807	
1194	0.221836	
1195	0.221809	
1196	0.221777	
1197	0.221892	
1198	0.221859	
1199	0.221843	
1200	0.221862	
1201	0.221857	
1202	0.221838	
1203	0.221803	
1204	0.221853	
1205	0.221819	
1206	0.221856	
1207	0.221861	
1208	0.221948	
1209	0.221975	
1210	0.221958	
1211	0.221959	
1212	0.221929	
1213	0.221898	
1214	0.221922	
1215	0.221912	
1216	0.22188	
1217	0.221848	
1218	0.221823	
1219	0.221835	
1220	0.221873	
1221	0.221894	
1222	0.22188	
1223	0.221904	
1224	0.221932	
1225	0.22195	
1226	0.221947	
1227	0.221945	
1228	0.221919	
1229	0.221937	
1230	0.222003	
1231	0.222036	
1232	0.22208	
1233	0.222056	
1234	0.222044	
1235	0.222016	
1236	0.222007	
1237	0.222031	
1238	0.222091	
1239	0.222073	
1240	0.222033	
1241	0.222026	
1242	0.22203	
1243	0.222106	
1244	0.22207	
1245	0.22217	
1246	0.222174	
1247	0.222139	
1248	0.222113	
1249	0.222098	
1250	0.222072	
1251	0.222043	
1252	0.222083	
1253	0.222066	
1254	0.222124	
1255	0.222112	
1256	0.222089	
1257	0.222072	
1258	0.222037	
1259	0.222137	
1260	0.222133	
1261	0.22216	
1262	0.222213	
1263	0.222312	
1264	0.222277	
1265	0.222259	
1266	0.222292	
1267	0.22236	
1268	0.222517	
1269	0.222496	
1270	0.222453	
1271	0.222415	
1272	0.222389	
1273	0.222443	
1274	0.222419	
1275	0.222513	
1276	0.222493	
1277	0.222461	
1278	0.222508	
1279	0.222488	
1280	0.222452	
1281	0.222477	
1282	0.222444	
1283	0.222419	
1284	0.222468	
1285	0.222449	
1286	0.222474	
1287	0.222491	
1288	0.222541	
1289	0.222568	
1290	0.222572	
1291	0.222579	
1292	0.222551	
1293	0.222508	
1294	0.222468	
1295	0.222547	
1296	0.222593	
1297	0.222599	
1298	0.222599	
1299	0.222559	
1300	0.222638	
1301	0.222629	
1302	0.222622	
1303	0.222587	
1304	0.222576	
1305	0.222537	
1306	0.222523	
1307	0.222499	
1308	0.2225	
1309	0.22246	
1310	0.22243	
1311	0.222392	
1312	0.222449	
1313	0.222448	
1314	0.222473	
1315	0.22243	
1316	0.222406	
1317	0.222369	
1318	0.222351	
1319	0.222329	
1320	0.222304	
1321	0.222287	
1322	0.222312	
1323	0.222307	
1324	0.22233	
1325	0.222321	
1326	0.222296	
1327	0.222359	
1328	0.222351	
1329	0.22233	
1330	0.222307	
1331	0.222271	
1332	0.222266	
1333	0.222338	
1334	0.222296	
1335	0.222266	
1336	0.222234	
1337	0.222243	
1338	0.222219	
1339	0.222209	
1340	0.222194	
1341	0.222232	
1342	0.222226	
1343	0.2223	
1344	0.222284	
1345	0.222278	
1346	0.222283	
1347	0.222288	
1348	0.222273	
1349	0.222249	
1350	0.222233	
1351	0.2222	
1352	0.222178	
1353	0.222158	
1354	0.222129	
1355	0.222094	
1356	0.222121	
1357	0.222087	
1358	0.222103	
1359	0.222074	
1360	0.222049	
1361	0.222046	
1362	0.222026	
1363	0.222013	
1364	0.222027	
1365	0.221994	
1366	0.222002	
1367	0.221966	
1368	0.22198	
1369	0.221953	
1370	0.221918	
1371	0.221956	
1372	0.221945	
1373	0.221919	
1374	0.221983	
1375	0.221966	
1376	0.22197	
1377	0.221994	
1378	0.221995	
1379	0.222046	
1380	0.222091	
1381	0.222084	
1382	0.222046	
1383	0.222021	
1384	0.221993	
1385	0.222003	
1386	0.221981	
1387	0.221991	
1388	0.221953	
1389	0.221975	
1390	0.221937	
1391	0.221903	
1392	0.221894	
1393	0.221861	
1394	0.221874	
1395	0.221923	
1396	0.221888	
1397	0.22186	
1398	0.221837	
1399	0.221867	
1400	0.221858	
1401	0.22188	
1402	0.221925	
1403	0.221928	
1404	0.221944	
1405	0.221937	
1406	0.221913	
1407	0.221883	
1408	0.221888	
1409	0.221865	
1410	0.22195	
1411	0.221919	
1412	0.221934	
1413	0.221964	
1414	0.222003	
1415	0.222029	
1416	0.221999	
1417	0.221968	
1418	0.221962	
1419	0.221955	
1420	0.221927	
1421	0.221892	
1422	0.22189	
1423	0.221941	
1424	0.222003	
1425	0.221999	
1426	0.221973	
1427	0.221954	
1428	0.221948	
1429	0.221911	
1430	0.221895	
1431	0.221858	
1432	0.221858	
1433	0.221926	
1434	0.221959	
1435	0.221997	
1436	0.22196	
1437	0.222002	
1438	0.22198	
1439	0.221945	
1440	0.221996	
1441	0.221962	
1442	0.221936	
1443	0.22192	
1444	0.221939	
1445	0.22194	
1446	0.221904	
1447	0.2219	
1448	0.221874	
1449	0.221841	
1450	0.221823	
1451	0.221834	
1452	0.22183	
1453	0.221912	
1454	0.221882	
1455	0.221865	
1456	0.221864	
1457	0.221877	
1458	0.221841	
1459	0.221863	
1460	0.221878	
1461	0.221845	
1462	0.221822	
1463	0.22182	
1464	0.221798	
1465	0.221765	
1466	0.22176	
1467	0.221752	
1468	0.221788	
1469	0.221783	
1470	0.221803	
1471	0.221781	
1472	0.221747	
1473	0.221736	
1474	0.221736	
1475	0.221701	
1476	0.221729	
1477	0.221714	
1478	0.221755	
1479	0.22174	
1480	0.221701	
1481	0.22178	
1482	0.221771	
1483	0.221776	
1484	0.221797	
1485	0.221819	
1486	0.221787	
1487	0.221762	
1488	0.221752	
1489	0.221715	
1490	0.221755	
1491	0.221749	
1492	0.221753	
1493	0.221725	
1494	0.221715	
1495	0.221704	
1496	0.221731	
1497	0.221696	
1498	0.221683	
1499	0.221694	
1500	0.221662	
1501	0.22167	
1502	0.221674	
1503	0.221643	
1504	0.22161	
1505	0.221596	
1506	0.221567	
1507	0.221618	
1508	0.22167	
1509	0.221712	
1510	0.221701	
1511	0.221753	
1512	0.221767	
1513	0.221748	
1514	0.221718	
1515	0.221714	
1516	0.221698	
1517	0.221667	
1518	0.221634	
1519	0.221631	
1520	0.221617	
1521	0.221603	
1522	0.221574	
1523	0.221614	
1524	0.221665	
1525	0.221675	
1526	0.221663	
1527	0.221706	
1528	0.221718	
1529	0.221685	
1530	0.221694	
1531	0.221679	
1532	0.221732	
1533	0.221814	
1534	0.221784	
1535	0.221779	
1536	0.221754	
1537	0.221721	
1538	0.221688	
1539	0.221692	
1540	0.221712	
1541	0.221727	
1542	0.221712	
1543	0.221715	
1544	0.221759	
1545	0.22176	
1546	0.221765	
1547	0.221757	
1548	0.221747	
1549	0.221749	
1550	0.221777	
1551	0.221764	
1552	0.22177	
1553	0.221754	
1554	0.221778	
1555	0.221785	
1556	0.221769	
1557	0.221746	
1558	0.22175	
1559	0.221766	
1560	0.221745	
1561	0.221717	
1562	0.221684	
1563	0.221662	
1564	0.221663	
1565	0.221639	
1566	0.221621	
1567	0.221592	
1568	0.221592	
1569	0.221587	
1570	0.221565	
1571	0.221556	
1572	0.22158	
1573	0.221548	
1574	0.221541	
1575	0.221563	
1576	0.221556	
1577	0.221557	
1578	0.221557	
1579	0.221571	
1580	0.221586	
1581	0.221562	
1582	0.221534	
1583	0.221556	
1584	0.221595	
1585	0.221596	
1586	0.221564	
1587	0.221614	
1588	0.221599	
1589	0.221601	
1590	0.221632	
1591	0.221599	
